,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
63,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
68,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
61,17.6,3>=family_num>=2,False,house_65,1.0,3.0,49.07,16.356666666666666
65,14.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
60,16.5,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
24,14.6,3>=family_num>=2,False,house_85,1.0,3.0,48.7,16.233333333333334
64,15.3,3>=family_num>=2,False,house_98,2.0,3.0,44.5,14.833333333333334
56,14.0,family_num=1,False,house_10,1.0,1.0,38.05,38.05
67,14.0,3>=family_num>=2,True,house_4,2.0,2.0,61.7,30.85
62,16.9,family_num>3,False,house_57,2.0,4.0,60.1,15.025
59,13.3,3>=family_num>=2,False,house_39,1.0,2.0,57.5,28.75
53,14.8,family_num>3,False,house_37,1.0,4.0,58.0,14.5
57,10.2,family_num>3,False,house_64,2.0,4.0,48.75,12.1875
52,15.1,3>=family_num>=2,False,house_13,1.0,2.0,38.25,19.125
55,15.2,3>=family_num>=2,False,house_52,2.0,3.0,44.3,14.766666666666666
39,16.0,family_num=1,True,house_99,1.0,1.0,44.51,44.51
50,15.0,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
27,15.2,family_num>3,True,house_46,1.0,4.0,44.75,11.1875
49,17.0,family_num=1,False,house_94,2.0,1.0,44.4,44.4
26,13.2,family_num=1,True,house_71,1.0,1.0,42.82,42.82
33,13.8,3>=family_num>=2,False,house_29,3.0,2.0,44.5,22.25
36,14.6,3>=family_num>=2,True,house_17,2.0,2.0,38.6,19.3
30,14.6,3>=family_num>=2,False,house_54,1.0,2.0,58.54,29.27
35,16.0,3>=family_num>=2,False,house_78,1.0,3.0,60.3,20.099999999999998
43,14.2,family_num>3,False,house_77,1.0,5.0,60.0,12.0
25,16.0,3>=family_num>=2,False,house_3,1.0,2.0,61.5,30.75
